No,국문,영문-서비스포탈상품명,영문-SamsungLLM,가이드참조
1,요금 계산기,Pricing Calculator,Pricing Calculator,O
2,이를 통해 데이터가 변경되거나 삭제되는 등 유사시에 미리 생성한 스냅샷을 이용하여 해당 시점으로 복구 가능합니다.,Recovery to a particular time using previously-created snapshots is possible in case of change or deletion of data.,"Through this, it is possible to recover at that point using a snapshot created in advance in case of data changes or deletions.",X
3,가용성 관리 : 스토리지 가동률 관리 등,"Availability management: Storage utilization rate management, etc.","Availability management: Storage operation rate management, etc.
",O
4,스토리지 모니터링,Storage monitoring,Storage Monitoring,O
5,"할당량 기준으로 월단위 요금을 적용하며, 월단위 요금은 1개월(매월 1일~말일) 기준 이용료이며, 월중 신청/해지시에는 일할 계산됩니다.","A monthly rate is charged according to assigned storage for usage of 1 month (first to last day of each month). For mid-month application/cancellation, the rate is calculated pro rata.","The monthly rate is based on quota and is a monthly fee from the 1st to the last day of each month. If you apply or cancel during the month, it will be calculated daily.",X
6,"DR 복제 및 백업 구성 시 사용한 만큼 요금이 청구되며, Region간 데이터 전송 요금은 별도 부과됩니다.","When configuring DR replication and backup, users pay for what they use. Data transfer charges between regions will be charged separately.","When configuring DR replication and backup, you will be charged for usage, and data transmission fees between regions will be charged separately.",X
7,"50,000GB를 초과하여 할당한 월에는 별도의 할인율을 추가 적용합니다.","Additional discount rates are applied for the month with usage of more than 50,000GB.","In a month when more than 50,000GB is allocated, an additional discount rate will be applied.",O
8,"할인 구간의 기준은 적용 서버 단위 용량을 기본으로 하되, 아래 상품에 할당되는 경우에는 클러스터 단위 총 용량을 기준으로 적용됩니다.","The criteria for the discount section is based on the applicable server unit capacity, but if it is allocated to the following products, it will be applied based on the cluster unit total capacity.","The standard for the discount section is based on the capacity of each application server, but when assigned to the products below, it is applied based on the total capacity in units of clusters.",X
9,"※ 클러스터 단위 할인 적용 대상 상품 : VMware Greenplum(DBaaS), Cloud Hadoop","※ Products eligible for cluster unit discount: VMware Greenplum (DBaaS), Cloud Hadoop","Products subject to cluster-level discounts: VMware Greenplum (DBaaS), Cloud Hadoop",X
10,File Storage는 네트워크를 통해 이기종 클라이언트에 데이터 엑세스를 제공하는 파일 수준의 스토리지입니다.,File Storage grants data access to a heterogeneous group of clients through network.,File Storage is a file-level storage that provides data access to heterogeneous clients over a network.,O
11,"File Storage 볼륨에 연결된 서버들이 손쉽게 데이터를 저장하고 공유할 수 있어, 다수의 서버를 사용하는 애플리케이션에서 데이터 활용이 용이합니다.","Servers connected to the File Storage volume allow easy storage and sharing of data, supporting applications using multiple servers.","Servers connected to the File Storage volume can easily store and share data, so it is easy to use data in applications that use multiple servers.",O
12,"웹 콘텐츠 관리, 엔터테인먼트 데이터 처리를 위한 저장소, 컨테이너 스토리지, 빅 데이터 분석 등 다양한 애플리케이션에서 편리하게 서비스를 이용할 수 있습니다.",The service is available on a range of diverse applications from web content management and repository for entertainment data processing to container storage and big data analysis.,"You can conveniently use the service in various applications such as web content management, entertainment data processing, storage, container storage, and big data analysis.",X
13,File Storage의 볼륨을 생성한 이후 사용자의 데이터 생성 및 삭제에 따라 볼륨은 자동으로 확장되거나 축소됩니다.,"Once a file storage is created, storage volume will automatically scale up and down depending on creation or deletion of user data.","After creating a volume in File Storage, the volume automatically expands or shrinks as users create and delete data.",X
14,"스토리지 볼륨 생성에 대한 비용은 발생하지 않으며, 사용량에 대해서만 과금됩니다.","Users will not be charged for creating a storage volume, but for usage.",There is no cost for creating a storage volume and you are charged only for usage.,O
15,다양한 디스크 유형 제공,Various Disk Types,Providing various disk types,X
16,"대용량 데이터 저장을 위한 비용 효율적인 HDD 뿐만 아니라, 짧은 응답 시간과 높은 IOPS를 제공하는 SSD를 선택하여 사용할 수 있습니다.",Affordable HDD to store large data and SSD with high IOPS are available for users to choose from depending on their needs.,"In addition to cost-effective HDDs for storing large amounts of data, you can also choose and utilize SSDs that provide fast response times and high IOPS.",X
17,중요 데이터 DR 복제,DR Replication of Critical Data,Replication of important data to DR,X
18,Samsung Cloud Platform의 타 Region에 원본 File Storage를 복제하는 DR 복제 기능을 제공하여 시스템 장애 또는 자연 재해 등으로 원본 스토리지를 사용하지 못하는 상황 발생시 즉시 DR 스토리지를 사용하여 데이터를 제공할 수 있습니다. (스토리지 비용 외 데이터 복제에 필요한 네트워크 비용 추가 발생),DR replication to copy the original File Storage to another Region of Samsung Cloud Platform ensures data provision with DR storage if the original storage is unavailable due to a system failure or a natural disaster. (Additional network cost will be charged for data replication in addition to storage cost.),"Which of the following functions does Samsung Cloud Platform offer? It provides a DR replication feature that allows the user to replicate their original file storage to another region within the platform. This ensures that they can access and utilize the data stored on their DR storage if they cannot use their original storage due to a system failure or natural disaster. However, this service incurs additional network costs apart from the regular storage costs associated with using the cloud platform.",O
19,스냅샷 기반 백업 제공,Snapshot-based Backup,Snapshot-based backup provisioning,X
20,"볼륨 단위의 이미지 스냅샷 기능을 제공하며, 데이터가 변경되거나 삭제되는 등 유사시에 사용자가 생성한 스냅샷을 이용하여 파일스토리지의 볼륨을 신속하게 복구할 수 있습니다.",Snapshot images for each volume are available. The user-created snapshots support rapid recovery of File Storage volume in case of change or deletion of data.,It provides a snapshot function for image in volume units and can quickly recover the volume of file storage using the snapshot created by the user in case of similar situations such as data changes or deletions.,X
